kode_prompt,video,varian,penilai,kategori_penilai,skor_clarity,skor_structure,skor_creativity,skor_completeness
L1_V1,Pengenalan Teks Deskripsi,Teori,Guru1,Guru_Bahasa,8.50,8.50,7.00,8.00
L1_V1,Pengenalan Teks Deskripsi,Teori,Guru2,Guru_Bahasa,8.75,8.25,7.25,8.25
L1_V1,Pengenalan Teks Deskripsi,Teori,Guru3,Guru_Bahasa,8.25,8.75,6.75,7.75
L1_V1,Pengenalan Teks Deskripsi,Teori,Guru4,Guru_Bahasa,8.00,8.50,7.00,8.00
L1_V1,Pengenalan Teks Deskripsi,Teori,Guru5,Guru_Bahasa,8.50,8.25,6.50,7.50
L1_V1,Pengenalan Teks Deskripsi,Teori,Guru6,Guru_Bahasa,8.75,8.50,7.25,8.25
L1_V1,Pengenalan Teks Deskripsi,Teori,Guru7,Guru_Bahasa,8.25,8.75,6.75,7.75
L1_V1,Pengenalan Teks Deskripsi,Teori,Guru8,Guru_Bahasa,8.00,8.25,7.00,8.00
L1_V1,Pengenalan Teks Deskripsi,Teori,Guru9,Guru_Bahasa,8.50,8.50,6.50,7.50
L1_V1,Pengenalan Teks Deskripsi,Teori,AI1,Ahli_AI,9.00,8.50,7.50,8.50
L1_V1,Pengenalan Teks Deskripsi,Teori,AI2,Ahli_AI,8.75,8.75,7.75,8.25
L1_V1,Pengenalan Teks Deskripsi,Teori,AI3,Ahli_AI,9.25,8.50,7.25,8.75
L1_V1,Pengenalan Teks Deskripsi,Teori,AI4,Ahli_AI,8.50,8.75,7.50,8.50
L1_V1,Pengenalan Teks Deskripsi,Teori,AI5,Ahli_AI,9.00,8.25,7.00,8.00
L1_V1,Pengenalan Teks Deskripsi,Teori,AI6,Ahli_AI,8.75,8.50,7.75,8.50
L1_V1,Pengenalan Teks Deskripsi,Teori,AI7,Ahli_AI,9.25,8.75,7.25,8.75
L1_V1,Pengenalan Teks Deskripsi,Teori,AI8,Ahli_AI,8.50,8.50,7.50,8.25
L1_V1,Pengenalan Teks Deskripsi,Teori,AI9,Ahli_AI,9.00,8.25,7.00,8.00
L1_V1,Pengenalan Teks Deskripsi,Teori,AI10,Ahli_AI,8.75,8.75,7.75,8.50
L1_V1,Pengenalan Teks Deskripsi,Teori,AI11,Ahli_AI,9.25,8.50,7.25,8.75
L1_V1,Pengenalan Teks Deskripsi,Teori,AI12,Ahli_AI,8.50,8.75,7.50,8.25
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,Guru1,Guru_Bahasa,8.50,8.00,8.50,8.50
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,Guru2,Guru_Bahasa,8.75,8.25,8.25,8.75
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,Guru3,Guru_Bahasa,8.25,7.75,8.75,8.25
