kode_prompt,video,varian,rata_clarity,rata_structure,rata_creativity,rata_completeness,skor_total
L1_V1,Pengenalan Teks Deskripsi,Teori,8.50,8.40,7.40,8.40,8.43
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,8.60,8.10,8.40,8.40,8.38
L1_V3,Pengenalan Teks Deskripsi,Visual,7.80,7.50,9.00,8.30,8.15
L1_V4,Pengenalan Teks Deskripsi,Interaktif,8.10,7.50,8.60,7.90,8.03
L1_V5,Pengenalan Teks Deskripsi,Analitis,8.40,8.70,7.80,8.80,8.43
L1_V6,Struktur Teks Deskripsi,Teori,9.10,9.30,7.70,8.80,8.73
L1_V7,Struktur Teks Deskripsi,Aplikasi,8.70,8.50,8.60,8.70,8.63
L1_V8,Struktur Teks Deskripsi,Visual,7.80,7.60,9.30,8.30,8.25
L1_V9,Struktur Teks Deskripsi,Interaktif,7.90,7.60,8.70,7.60,7.95
L1_V10,Struktur Teks Deskripsi,Analitis,8.60,8.80,8.10,9.50,8.75
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,8.20,8.60,7.00,7.60,7.85
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,8.80,8.20,8.60,8.40,8.50
L1_V13,Kaidah Kebahasaan Teks Deskripsi,Visual,8.10,7.40,9.20,8.10,8.20
L1_V14,Kaidah Kebahasaan Teks Deskripsi,Interaktif,7.90,7.20,8.40,7.40,7.73
L1_V15,Kaidah Kebahasaan Teks Deskripsi,Analitis,8.10,8.20,7.70,8.70,8.18
L2_V1,Pengenalan Poster,Teori,8.20,8.20,7.20,7.80,7.85
L2_V2,Pengenalan Poster,Aplikasi,8.60,8.10,8.50,8.20,8.35
L2_V3,Pengenalan Poster,Visual,7.80,7.20,9.20,8.10,8.08
L2_V4,Pengenalan Poster,Interaktif,8.10,7.40,8.60,7.70,7.95
L2_V5,Pengenalan Poster,Analitis,7.80,8.20,7.60,8.30,7.98
L2_V6,Jenis-Jenis Poster,Teori,8.60,8.40,7.20,8.20,8.10
L2_V7,Jenis-Jenis Poster,Aplikasi,8.70,8.10,8.60,8.60,8.50
L2_V8,Jenis-Jenis Poster,Visual,7.80,7.20,9.20,8.10,8.08
L2_V9,Jenis-Jenis Poster,Interaktif,8.10,7.40,8.60,7.70,7.95
L2_V10,Jenis-Jenis Poster,Analitis,8.00,8.20,7.70,8.70,8.15
L2_V11,Unsur-Unsur Poster,Teori,8.10,8.70,7.20,7.80,7.95
L2_V12,Unsur-Unsur Poster,Aplikasi,8.70,8.20,8.60,8.30,8.45
L2_V13,Unsur-Unsur Poster,Visual,8.10,7.40,9.20,8.20,8.23
L2_V14,Unsur-Unsur Poster,Interaktif,7.70,7.00,8.20,7.30,7.55
L2_V15,Unsur-Unsur Poster,Analitis,7.80,8.20,7.70,8.40,8.03
L3_V1,Pengenalan Teks Berita,Teori,8.60,8.40,7.20,8.20,8.10
L3_V2,Pengenalan Teks Berita,Aplikasi,8.70,8.10,8.60,8.60,8.50
L3_V3,Pengenalan Teks Berita,Visual,7.80,7.20,9.20,7.80,8.00
